source_names,Meand13C,MeanFM,SDd13C,SDFM,n
aquatic,-23.7,0.325,7.13,0.0016,113
postglacial,-24.8,0.301,1.046050758,0.013,6
mis5,-26.4,0,1.07,0.0001,51
